dex_number	internal_index	species_label	species_name	form_name	form_type	lineage_id	evo_stage	evolves_from	evolves_into	evo_methods	evo_params	evo_item_obtainable	type1	type2	hp	atk	defense	spa	spd	spe	bst	ability1	ability2	ability_hidden	held_item1	held_item2	levelup_moves	n_levelup	tm_moves	n_tm	egg_moves	n_egg	tutor_moves	event_moves	availability	n_availability	earliest_level	earliest_checkpoint	is_starter	wild_obtainable	one_time_only	missable	siblings	is_cosmetic_form	source_files	confidence	notes	reachable
1	1	SPECIES_BULBASAUR	Bulbasaur	NONE	base	1	1	NONE	EVO_LEVEL:2:16	EVO_LEVEL	level=16	UNK	Grass	Poison	45	49	49	65	65	45	318	Overgrow	NONE	Chlorophyll	NONE	NONE	33:1,45:3,73:7,345:9,77:13,79:13,124:15,72:19,36:21,74:25,38:27,388:31,235:33,402:37	14	402,331,113,202,311,91,115,188,412,731,474,282,447,15,70,148,249,526,14,34,241,76,438,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	38	130,204,80,345,320,174,275,267,133,437,438,124,203,202,580	15	UNK	UNK	gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|Fallarbor Town Move Relearners House:egg:1-1:UNK:Trade Green Shard (random egg)|Littleroot Town:starter:5-5:100:game start, choose one	6	1	01_Pre-Roxanne	True	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
2	2	SPECIES_IVYSAUR	Ivysaur	NONE	base	1	2	1	EVO_LEVEL:3:36	EVO_LEVEL	level=36	UNK	Grass	Poison	60	62	63	80	80	60	405	Overgrow	NONE	Chlorophyll	NONE	NONE	33:1,45:1,73:1,45:3,73:7,345:9,77:13,79:13,124:15,72:20,36:23,74:28,38:31,188:36,235:39,76:44	16	402,331,113,202,311,91,115,188,412,731,474,282,447,15,70,148,249,526,14,34,241,76,438,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	38	NONE	0	UNK	UNK	gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE	6	5	01_Pre-Roxanne	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
3	3	SPECIES_VENUSAUR	Venusaur	NONE	base	1	3	2	NONE	NONE	NONE	UNK	Grass	Poison	80	82	83	100	100	80	525	Overgrow	NONE	Chlorophyll	NONE	NONE	80:0,80:1,33:1,45:1,73:1,345:1,45:3,73:7,22:9,77:13,79:13,36:15,72:20,124:23,74:28,38:31,188:39,235:45,572:50,76:53,763:64	21	402,46,331,113,202,311,89,91,115,188,412,731,474,661,282,414,447,523,15,70,148,249,526,14,34,241,76,438,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	43	NONE	0	UNK	UNK	gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE	10	5	01_Pre-Roxanne	False	True	False	False	906,1494	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
3	906	SPECIES_VENUSAUR_MEGA	Venusaur	Mega	mega	906	1	NONE	NONE	NONE	NONE	UNK	Grass	Poison	80	100	123	122	120	80	625	Thick Fat	Thick Fat	Thick Fat	NONE	NONE	80:0,80:1,33:1,45:1,73:1,345:1,45:3,73:7,22:9,77:13,79:13,36:15,72:20,124:23,74:28,38:31,188:39,235:45,572:50,76:53,763:64	21	402,46,331,113,202,311,89,91,115,188,412,731,474,661,282,414,447,523,15,70,148,249,526,14,34,241,76,438,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	43	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	3,1494	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by form change from an obtainable sibling	via_form_change
3	1494	SPECIES_VENUSAUR_GMAX	Venusaur	Gmax	gigantamax	1494	1	NONE	NONE	NONE	NONE	UNK	Grass	Poison	80	82	83	100	100	80	525	Overgrow	NONE	Chlorophyll	NONE	NONE	80:0,80:1,33:1,45:1,73:1,345:1,45:3,73:7,22:9,77:13,79:13,36:15,72:20,124:23,74:28,38:31,188:39,235:45,572:50,76:53,763:64	21	402,46,331,113,202,311,89,91,115,188,412,731,474,661,282,414,447,523,15,70,148,249,526,14,34,241,76,438,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	43	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	3,906	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by form change from an obtainable sibling	via_form_change
4	4	SPECIES_CHARMANDER	Charmander	NONE	base	4	1	NONE	EVO_LEVEL:5:16	EVO_LEVEL	level=16	UNK	Fire		39	52	43	60	50	65	309	Blaze	NONE	Solar Power	NONE	NONE	10:1,45:1,206:5,52:7,280:9,246:12,424:14,184:19,9:24,481:28,163:34,53:37,83:43,517:46	14	337,257,311,91,280,115,53,126,317,315,843,406,261,231,421,9,157,332,7,512,743,15,70,249,526,612,488,349,14,424,34,241,264,394,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	49	187,246,44,200,643,349,242,407,232,394,68,406,264,314	14	UNK	UNK	gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|Fallarbor Town Move Relearners House:egg:1-1:UNK:Trade Red Shard (random species)|Littleroot Town:starter:5-5:100:game start, choose one	14	1	01_Pre-Roxanne	True	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
5	5	SPECIES_CHARMELEON	Charmeleon	NONE	base	4	2	4	EVO_LEVEL:6:36	EVO_LEVEL	level=36	UNK	Fire		58	64	58	80	65	80	405	Blaze	NONE	Solar Power	NONE	NONE	510:0,510:1,10:1,45:1,206:5,52:7,280:9,246:12,424:15,184:21,9:24,481:28,163:37,53:43,83:50,517:54	16	337,257,311,91,280,115,53,126,317,315,843,406,261,231,421,9,157,332,7,512,743,15,70,249,526,612,488,349,14,424,34,241,264,394,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	49	NONE	0	UNK	UNK	gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE	17	5	01_Pre-Roxanne	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
6	6	SPECIES_CHARIZARD	Charizard	NONE	base	4	3	5	NONE	NONE	NONE	UNK	Fire	Flying	78	84	78	109	85	100	534	Blaze	NONE	Solar Power	NONE	NONE	742:0,742:1,510:1,394:1,257:1,337:1,421:1,403:1,10:1,45:1,206:5,52:7,280:9,246:12,424:15,82:17,184:21,9:24,481:28,163:41,53:47,83:51,517:56,349:60,257:71,394:77	26	337,46,257,311,89,91,280,396,115,53,126,317,432,211,542,315,355,411,403,843,406,261,231,421,9,157,332,525,727,523,7,742,512,743,535,434,15,19,70,249,526,612,488,366,349,14,424,34,241,76,299,595,264,394,850,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	70	NONE	0	UNK	UNK	gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE	14	5	01_Pre-Roxanne	False	True	False	False	907,908,1496	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
6	907	SPECIES_CHARIZARD_MEGA_X	Charizard	Mega-X	mega	907	1	NONE	NONE	NONE	NONE	UNK	Fire	Dragon	78	130	111	130	85	100	634	Tough Claws	Tough Claws	Tough Claws	NONE	NONE	742:0,742:1,510:1,394:1,257:1,337:1,421:1,403:1,10:1,45:1,206:5,52:7,280:9,246:12,424:15,82:17,184:21,9:24,481:28,163:41,53:47,83:51,517:56,349:60,257:71,394:77	26	337,46,257,311,89,91,280,396,115,53,126,317,432,211,542,315,355,411,403,843,406,261,231,421,9,157,332,525,727,523,7,742,512,743,535,434,15,19,70,249,526,612,488,366,349,14,424,34,241,76,299,595,264,394,850,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	70	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	6,908,1496	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by form change from an obtainable sibling	via_form_change
6	908	SPECIES_CHARIZARD_MEGA_Y	Charizard	Mega-Y	mega	908	1	NONE	NONE	NONE	NONE	UNK	Fire	Flying	78	104	78	159	115	100	634	Drought	Drought	Sheer Force	NONE	NONE	742:0,742:1,510:1,394:1,257:1,337:1,421:1,403:1,10:1,45:1,206:5,52:7,280:9,246:12,424:15,82:17,184:21,9:24,481:28,163:41,53:47,83:51,517:56,349:60,257:71,394:77	26	337,46,257,311,89,91,280,396,115,53,126,317,432,211,542,315,355,411,403,843,406,261,231,421,9,157,332,525,727,523,7,742,512,743,535,434,15,19,70,249,526,612,488,366,349,14,424,34,241,76,299,595,264,394,850,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	70	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	6,907,1496	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by form change from an obtainable sibling	via_form_change
