entity_type	entity_name	internal_id	location	sub_area	region	acquisition_method	cost	currency	quantity	repeatable	prerequisites	earliest_gate	gate_basis	trade_given	trade_received	vendor_stock	missable	missable_reason	source_file	confidence	notes	reward_trainer
TM	TM001 Focus Punch	264	Jagged Pass, from Maylene after defeating her		Hoenn	reward/ground			1	one_time	location reachability	07_Pre-MtChimney-Magma	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM002 Dragon Claw	337	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM003 Flip Turn	740	Slateport City, from the Aqua grunt nearest the entrace inside		Hoenn	reward/ground			1	one_time	location reachability	04_Pre-Aqua-Museum	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM004 Calm Mind	347	Verdanturf Town, from Ursula after defeating her in a “dance battle”		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM005 Roar	46	Route 114, from the man next to his Poochyena		Hoenn	reward/ground			1	one_time	location reachability	08_Pre-Flannery	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM006 Toxic	92	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM007 Snowscape	809	Route 114, on the cliffs past a smashable rock		Hoenn	reward/ground			1	one_time	location reachability	08_Pre-Flannery	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM008 Bulk Up	339	Verdanturf Town, from Ursula after defeating her in a “dance battle”		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM009 Bullet Seed	331	Route 104, from the man close to the northern exit of Petalburg Woods		Hoenn	reward/ground			1	one_time	location reachability	01_Pre-Roxanne	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM010 Hidden Power	237	Route 117, from the Ninja Kid hidden below the flower field		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM011 Sunny Day	241	Route 124, on the ground, requires Surf		Hoenn	reward/ground			1	one_time	location reachability	15_Pre-Tate-and-Liza	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM012 Taunt	269	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM013 Ice Beam	58	Lavaridge Town’s outdoor Mart worker		Hoenn	reward/ground			1	one_time	location reachability	08_Pre-Flannery	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM014 Blizzard	59	Route 125, from Candice after defeating her		Hoenn	reward/ground			1	one_time	location reachability	16_Pre-Seafloor-Cavern	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM015 Electroweb	527	Dewford Town’s outdoor Mart workers		Hoenn	reward/ground			1	one_time	location reachability	03_Pre-Brawly	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM016 Light Screen	113	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM017 Protect	182	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM018 Rain Dance	240	Route 121, on the ground South of the entrance to the Safari Zone		Hoenn	reward/ground			1	one_time	location reachability	13_Pre-Dawn-Lilycove	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM019 Giga Drain	202	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM020 Hyper Voice	304	Lavaridge Town’s outdoor Mart worker		Hoenn	reward/ground			1	one_time	location reachability	08_Pre-Flannery	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM021 Icy Wind	196	Dewford Town’s outdoor Mart workers		Hoenn	reward/ground			1	one_time	location reachability	03_Pre-Brawly	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM022 Solar Beam	76	Trick House, reward for completing second puzzle		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM023 Iron Tail	231	Meteor Falls, on the ground near the Southern exit		Hoenn	reward/ground			1	one_time	location reachability	07_Pre-MtChimney-Magma	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM024 Thunderbolt	85	Lavaridge Town’s outdoor Mart worker		Hoenn	reward/ground			1	one_time	location reachability	08_Pre-Flannery	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM025 Thunder	87	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM026 Earthquake	89	Fortree City, from creator Xavier after defeating him		Hoenn	reward/ground			1	one_time	location reachability	12_Pre-Winona	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM027 Return	216	Petalburg City, from Norman after defeating him		Hoenn	reward/ground			1	one_time	after norman	11_Pre-Route119-Rival	after norman				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM028 Dig	91	Fallarbor Town, from kid brother of the Fossil Maniac		Hoenn	reward/ground			1	one_time	location reachability	07_Pre-MtChimney-Magma	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM029 Psychic	94	Route 117, from Fantina after defeating her in the flower field		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM030 Shadow Ball	247	Route 117, from Fantina after defeating her in the flower field		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM031 Brick Break	280	Route 117, from Fantina after defeating her in the flower field		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM032 Solar Blade	632	Trick House, reward for completing second puzzle		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM033 Reflect	115	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM034 Teleport	100	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM035 Flamethrower	53	Lavaridge Town’s outdoor Mart worker		Hoenn	reward/ground			1	one_time	location reachability	08_Pre-Flannery	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM036 Sludge	124	Bomb Lavaridge Town’s outdoor Mart worker		Hoenn	reward/ground			1	one_time	location reachability	08_Pre-Flannery	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM037 Sandstorm	201	Route 111, on the ground near the Southern entrance to the desert		Hoenn	reward/ground			1	one_time	location reachability	08_Pre-Flannery	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM038 Fire Blast	126	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM039 Rock Tomb	317	Route 116, from Roark after defeating him		Hoenn	reward/ground			1	one_time	location reachability	02_Pre-Rustboro-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM040 Aerial Ace	332	Dewford Town’s outdoor Mart workers		Hoenn	reward/ground			1	one_time	location reachability	03_Pre-Brawly	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM041 Dragon Dance	349	Fortree City, from creator Justin after defeating him		Hoenn	reward/ground			1	one_time	location reachability	12_Pre-Winona	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM042 Facade	263	Petalburg City, from Norman after defeating him		Hoenn	reward/ground			1	one_time	after norman	11_Pre-Route119-Rival	after norman				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM043 Defog	432	Route 111, from the kid staring at a tree past Fiery Path		Hoenn	reward/ground			1	one_time	location reachability	07_Pre-MtChimney-Magma	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM044 Rest	156	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM045 Drain	UNK	Kiss Verdanturf Town, in the lobby of the Battle Tent		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Unresolved	move name did not resolve against moveData	
TM	TM046 Thief	168	Slateport City, in the lobby of the Battle Tent		Hoenn	reward/ground			1	one_time	location reachability	04_Pre-Aqua-Museum	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM047 Steel Wing	211	Granite Cave, from Steven after delivering the letter to him		Hoenn	reward/ground			1	one_time	location reachability	03_Pre-Brawly	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM048 Meteor Beam	728	Petalburg City, from Wally’s dad after defeating Norman		Hoenn	reward/ground			1	one_time	after norman	11_Pre-Route119-Rival	after norman				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM049 Leech Life	141	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM050 Overheat	315	Lavaridge Town, fromFlannery after defeating her		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM051 Roost	355	Route 111, from Dawn after defeating her		Hoenn	reward/ground			1	one_time	location reachability	07_Pre-MtChimney-Magma	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM052 Focus Blast	411	Jagged Pass, from Maylene after defeating her		Hoenn	reward/ground			1	one_time	location reachability	07_Pre-MtChimney-Magma	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM053 Energy Ball	412	Lavaridge Town’s outdoor Mart worker		Hoenn	reward/ground			1	one_time	location reachability	08_Pre-Flannery	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM054 Grassy Glide	731	Trick House, reward for completing second puzzle		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM055 Expanding Force	725	Mossdeep City, from Tate and Liza after defeating them		Hoenn	reward/ground			1	one_time	after tate	16_Pre-Seafloor-Cavern	after tate				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM056 Power up Punch	612	Verdanturf Town, from Ursula after defeating her in a “dance battle”		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM057 Charge	268	Beam Verdanturf Town, from Ursula after defeating her in a “dance battle”		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM058 Rising Voltage	732	Evergrande City, from Volkner after defeating him		Hoenn	reward/ground			1	one_time	location reachability	18_Pre-Wally-VictoryRoad	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM059 Dragon Pulse	406	Petalburg City, from Wally’s dad after defeating Norman		Hoenn	reward/ground			1	one_time	after norman	11_Pre-Route119-Rival	after norman				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM060 Drain Punch	409	Jagged Pass, from Maylene after defeating her		Hoenn	reward/ground			1	one_time	location reachability	07_Pre-MtChimney-Magma	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM061 Will-O-Wisp	261	Lavaridge Town, fromFlannery after defeating her		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM062 Silver Wind	318	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM063 Venoshock	474	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM064 Explosion	153	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM065 Shadow Claw	421	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM066 Dazzling Gleam	605	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM067 Poltergeist	737	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM068 Dual Chop	530	Petalburg City, from Wally’s dad after defeating Norman		Hoenn	reward/ground			1	one_time	after norman	11_Pre-Route119-Rival	after norman				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM069 Rock Polish	397	Verdanturf Town, from Ursula after defeating her in a “dance battle”		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM070 Triple Axel	741	Route 125, from Candice after defeating her		Hoenn	reward/ground			1	one_time	location reachability	16_Pre-Seafloor-Cavern	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM071 Stone Edge	444	Trick House, reward for completing third puzzle		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM072 Psyshock	473	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM073 Thunder	87	Wave Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM074 Gyro Ball	360	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM075 Swords Dance	14	Petalburg City, from Norman after defeating him		Hoenn	reward/ground			1	one_time	after norman	11_Pre-Route119-Rival	after norman				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
