sheet	trainer	header_row	location	variant	battle_format	col	species	held_item	field_effect	mega_ability	is_mega	level	level_mode	nature	ability	moves	n_moves	evs	ivs	species_id	item_id	illegal_moves	speed_stat	moves_source_typo
Hoenn Leaders	ROXANNE	1		NONE	single	0	Rhyhorn	Rindo Berry	NONE	NONE	False	14	fixed	Adamant	Lightning Rod	Rock Tomb;Horn Attack;Bulldoze;Rock Smash	4	NONE	NONE	111.0	553	0	16	NONE
Hoenn Leaders	ROXANNE	1		NONE	single	2	Wooper-Paldea	Oran Berry	NONE	NONE	False	15	fixed	Modest	Water Absorb	Mud Shot;Acid Spray;Yawn;Sandstorm	4	NONE	NONE	1405.0	520	0	14	NONE
Hoenn Leaders	ROXANNE	1		NONE	single	4	Gligar	Oran Berry	NONE	NONE	False	15	fixed	Adamant	Sand Veil	Wing Attack;Quick Attack;Bulldoze	3	NONE	NONE	207.0	520	0	35	NONE
Hoenn Leaders	ROXANNE	1		NONE	single	6	Nosepass	Berry Juice	NONE	NONE	False	15	fixed	Impish	Sturdy	Rock Blast;Spark;Thunder Wave;Bulldoze	4	NONE	NONE	299.0	53	0	18	NONE
Hoenn Leaders	BRAWLY	13		NONE	single	0	Pikachu-Libre	Light Ball	NONE	NONE	False	23	fixed	Timid	Lightning Rod	Fake Out;Electroweb;Hidden Power Fighting;Draining Kiss	4	NONE	30 Def / 30 SpA / 30 SpD / 30 Spe	1014.0	392	0	58	NONE
Hoenn Leaders	BRAWLY	13		NONE	single	2	Sandslash-Alola	Chople Berry	NONE	NONE	False	24	fixed	Jolly	Ice Scales	Ice Shard;Aerial Ace;Bulldoze;Cut	4	NONE	NONE	960.0	555	0	47	NONE
Hoenn Leaders	BRAWLY	13		NONE	single	4	Lycanroc-Dusk	Muscle Band	NONE	NONE	False	25	fixed	Jolly	Tough Claws	Low Sweep;Accelerock;Bulldoze;Rock Tomb	4	NONE	NONE	1174.0	475	2	73	NONE
Hoenn Leaders	BRAWLY	13		NONE	single	6	Gurdurr	Eviolite	NONE	NONE	False	25	fixed	Adamant	Iron Fist	Mach Punch;Fire Punch;Low Sweep;Thunder Punch	4	NONE	NONE	533.0	494	0	32	NONE
Hoenn Leaders	BRAWLY	13		NONE	single	8	Hariyama	Flame Orb	NONE	NONE	False	25	fixed	Adamant	Guts	Low Sweep;Rock Tomb;Knock Off;Fake Out	4	NONE	NONE	297.0	445	0	37	NONE
Hoenn Leaders	WATTSON	26		NONE	single	0	Dedenne	Terrain Extender	NONE	NONE	False	34	fixed	Timid	Electric Surge	Parabolic Charge;Volt Switch;Draining Kiss;Hidden Power Ice	4	6 HP / 252 SpA / 252 Spe	30 Spe	702.0		0	115	NONE
Hoenn Leaders	WATTSON	26		NONE	single	2	Kilowattrel	Charti Berry	NONE	NONE	False	34	fixed	Timid	Volt Absorb	Air Slash;Electroweb;Volt Switch;Roost	4	6 HP / 252 SpA / 252 Spe	NONE	1329.0	561	0	133	NONE
Hoenn Leaders	WATTSON	26		NONE	single	4	Magneton	Eviolite	NONE	NONE	False	34	fixed	Modest	Analytic	Discharge;Mirror Shot;Volt Switch;Tri Attack	4	6 HP / 252 SpA / 252 Spe	NONE	82.0	494	0	84	NONE
Hoenn Leaders	WATTSON	26		NONE	single	6	Vikavolt	Occa Berry	NONE	NONE	False	34	fixed	Modest	Levitate	Bug Buzz;Air Slash;Energy Ball;Charge Beam	4	6 HP / 252 SpA / 252 Spe	NONE	738.0	550	0	66	NONE
Hoenn Leaders	WATTSON	26		NONE	single	8	Luxray	NONE	NONE	Strong Jaw	True	34	fixed	Jolly	Intimidate	Thunder Fang;Bite;Psychic Fangs;Ice Fang	4	6 HP / 252 Atk / 252 Spe	NONE	405.0	NONE	0	92	NONE
Hoenn Leaders	FLANNERY	39		NONE	single	0	Ninetales	Heat Rock	NONE	NONE	False	47	fixed	Timid	Drought	Flamethrower;Energy Ball;Psyshock;Dark Pulse	4	6 HP / 252 SpA / 252 Spe	NONE	38.0	448	0	157	NONE
Hoenn Leaders	FLANNERY	39		NONE	single	2	Walking Wake	Choice Scarf	NONE	NONE	False	47	fixed	Timid	Protosynthesis	Hydro Steam;Flamethrower;Dragon Pulse;Hidden Power Poison	4	6 HP / 252 SpA / 252 Spe	NONE	1406.0	444	0	166	NONE
Hoenn Leaders	FLANNERY	39		NONE	single	4	Scovillain	Life Orb	NONE	NONE	False	47	fixed	Modest	Chlorophyll	Giga Drain;Flamethrower;Scorching Sands;Sunny Day	4	6 HP / 252 SpA / 252 Spe	NONE	1340.0	479	0	119	NONE
Hoenn Leaders	FLANNERY	39		NONE	single	6	Rotom-Heat	Leftovers	NONE	NONE	False	47	fixed	Bold	Levitate	Thunderbolt;Overheat;Hidden Power Ice;Thunder Wave	4	252 Def / 252 SpA / 6 SpD	30 Spe	1064.0	472	0	99	NONE
Hoenn Leaders	FLANNERY	39		NONE	single	8	Marowak-Alola	Thick Club	NONE	NONE	False	47	fixed	Adamant	Bone Zone	Bonemerang;Shadow Bone;Flare Blitz;Thunder Punch	4	6 HP / 252 Atk / 252 Spe	NONE	973.0	394	0	91	NONE
Hoenn Leaders	FLANNERY	39		NONE	single	10	Infernape	NONE	NONE	Iron Fist	True	47	fixed	Jolly	Iron Fist	Fire Punch;Close Combat;Knock Off;Thunder Punch	4	6 HP / 252 Atk / 252 Spe	NONE	392.0	NONE	0	170	NONE
Hoenn Leaders	NORMAN	51		NONE	single	0	Zoroark-Hisui	Focus Sash	NONE	NONE	False	59	fixed	Timid	Illusion	Bitter Malice;Aura Sphere;Hyper Voice;Sludge Bomb	4	6 HP / 252 SpA / 252 Spe	NONE	1003.0	481	0	209	NONE
Hoenn Leaders	NORMAN	51		NONE	single	2	Iron Valiant	Booster Energy	NONE	NONE	False	59	fixed	Jolly	Quark Drive	Close Combat;Spirit Break;Bulk Up;Knock Off	4	6 HP / 252 Atk / 252 Spe	NONE	1399.0	906	1	216	NONE
Hoenn Leaders	NORMAN	51		NONE	single	4	Ursaluna-Bloodmoon	Expert Belt	NONE	NONE	False	59	fixed	Modest	Mind's Eye	Earth Power;Blood Moon;Hyper Voice;Hidden Power Ice	4	6 HP / 252 SpA / 252 Spe	30 Atk / 30 Def	1424.0	477	0	121	NONE
Hoenn Leaders	NORMAN	51		NONE	single	6	Cyclizar	Sitrus Berry	NONE	NONE	False	59	fixed	Jolly	Regenerator	Shed Tail;Aqua Tail;Dragon Claw;Return	4	6 HP / 252 Atk / 252 Spe	NONE	1356.0	523	0	223	NONE
Hoenn Leaders	NORMAN	51		NONE	single	8	Slaking	NONE	NONE	Comatose	True	59	fixed	Jolly	Truant	Return;Play Rough;Power-Up Punch;Earthquake	4	6 HP / 252 Atk / 252 Spe	NONE	289.0	NONE	0	195	NONE
Hoenn Leaders	NORMAN	51		NONE	single	12	Obstagoon	Life Orb	NONE	NONE	False	59	fixed	Jolly	Guts	Facade;Knock Off;Close Combat;Sucker Punch	4	6 HP / 252 Atk / 252 Spe	NONE	862.0	479	0	189	NONE
Hoenn Leaders	WINONA	63		NONE	single	0	Staraptor	Choice Band	NONE	NONE	False	68	fixed	Jolly	Intimidate	U-turn;Double-Edge;Brave Bird;Close Combat	4	6 HP / 252 Atk / 252 Spe	NONE	398.0	442	0	224	NONE
Hoenn Leaders	WINONA	63		NONE	single	2	Aggron	Assault Vest	NONE	NONE	False	68	fixed	Adamant	Rock Head	Head Smash;Heavy Slam;Fire Punch;Body Press	4	6 HP / 252 Atk / 252 Def	NONE	306.0	503	1	94	NONE
