trainer_id	trainer_name	trainer_class	team_variant	role	location	battle_order_index	difficulty_mode	battle_format	field_effect	roster_size	level_mode	level_min	level_max	roster	roster_species	n_unresolved_species	uses_held_items	n_mega	offensive_types	cannot_hit_neutral	type_resists_whole_team	shared_weaknesses	speed_fastest	speed_slowest	speed_median	source_file	confidence	notes
Hoenn Leaders:ROXANNE:1	ROXANNE	Hoenn Leaders	NONE	Hoenn Leaders	UNK	1	NORMAL (MGM off)	single	NONE	4	fixed	14	15	Rhyhorn:14:Adamant:Lightning Rod:Rindo Berry:NONE:NONE:Rock Tomb;Horn Attack;Bulldoze;Rock Smash|Wooper-Paldea:15:Modest:Water Absorb:Oran Berry:NONE:NONE:Mud Shot;Acid Spray;Yawn;Sandstorm|Gligar:15:Adamant:Sand Veil:Oran Berry:NONE:NONE:Wing Attack;Quick Attack;Bulldoze|Nosepass:15:Impish:Sturdy:Berry Juice:NONE:NONE:Rock Blast;Spark;Thunder Wave;Bulldoze	111,1405,207,299	0	True	0	Electric,Fighting,Flying,Ground,Normal,Poison,Rock	NONE	NONE	Water:4,Ground:3,Ice:3,Fighting:2,Steel:2,Grass:2	35	14	17	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Hoenn Leaders:BRAWLY:13	BRAWLY	Hoenn Leaders	NONE	Hoenn Leaders	UNK	13	NORMAL (MGM off)	single	NONE	5	fixed	23	25	Pikachu-Libre:23:Timid:Lightning Rod:Light Ball:NONE:30 Def / 30 SpA / 30 SpD / 30 Spe:Fake Out;Electroweb;Hidden Power Fighting;Draining Kiss|Sandslash-Alola:24:Jolly:Ice Scales:Chople Berry:NONE:NONE:Ice Shard;Aerial Ace;Bulldoze;Cut|Lycanroc-Dusk:25:Jolly:Tough Claws:Muscle Band:NONE:NONE:Low Sweep;Accelerock;Bulldoze;Rock Tomb|Gurdurr:25:Adamant:Iron Fist:Eviolite:NONE:NONE:Mach Punch;Fire Punch;Low Sweep;Thunder Punch|Hariyama:25:Adamant:Guts:Flame Orb:NONE:NONE:Low Sweep;Rock Tomb;Knock Off;Fake Out	1014,960,1174,533,297	0	True	0	Dark,Electric,Fairy,Fighting,Fire,Flying,Ground,Ice,Normal,Rock,Steel	NONE	NONE	Ground:3,Psychic:3,Fairy:3	73	32	47	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Hoenn Leaders:WATTSON:26	WATTSON	Hoenn Leaders	NONE	Hoenn Leaders	UNK	26	NORMAL (MGM off)	single	NONE	5	fixed	34	34	Dedenne:34:Timid:Electric Surge:Terrain Extender:6 HP / 252 SpA / 252 Spe:30 Spe:Parabolic Charge;Volt Switch;Draining Kiss;Hidden Power Ice|Kilowattrel:34:Timid:Volt Absorb:Charti Berry:6 HP / 252 SpA / 252 Spe:NONE:Air Slash;Electroweb;Volt Switch;Roost|Magneton:34:Modest:Analytic:Eviolite:6 HP / 252 SpA / 252 Spe:NONE:Discharge;Mirror Shot;Volt Switch;Tri Attack|Vikavolt:34:Modest:Levitate:Occa Berry:6 HP / 252 SpA / 252 Spe:NONE:Bug Buzz;Air Slash;Energy Ball;Charge Beam|Luxray:34:Jolly:Intimidate:NONE:6 HP / 252 Atk / 252 Spe:NONE:Thunder Fang;Bite;Psychic Fangs;Ice Fang	702,1329,82,738,405	0	True	1	Bug,Dark,Electric,Fairy,Flying,Grass,Ice,Normal,Psychic,Steel	NONE	NONE	Ground:3	133	66	92	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Hoenn Leaders:FLANNERY:39	FLANNERY	Hoenn Leaders	NONE	Hoenn Leaders	UNK	39	NORMAL (MGM off)	single	NONE	6	fixed	47	47	Ninetales:47:Timid:Drought:Heat Rock:6 HP / 252 SpA / 252 Spe:NONE:Flamethrower;Energy Ball;Psyshock;Dark Pulse|Walking Wake:47:Timid:Protosynthesis:Choice Scarf:6 HP / 252 SpA / 252 Spe:NONE:Hydro Steam;Flamethrower;Dragon Pulse;Hidden Power Poison|Scovillain:47:Modest:Chlorophyll:Life Orb:6 HP / 252 SpA / 252 Spe:NONE:Giga Drain;Flamethrower;Scorching Sands;Sunny Day|Rotom-Heat:47:Bold:Levitate:Leftovers:252 Def / 252 SpA / 6 SpD:30 Spe:Thunderbolt;Overheat;Hidden Power Ice;Thunder Wave|Marowak-Alola:47:Adamant:Bone Zone:Thick Club:6 HP / 252 Atk / 252 Spe:NONE:Bonemerang;Shadow Bone;Flare Blitz;Thunder Punch|Infernape:47:Jolly:Iron Fist:NONE:6 HP / 252 Atk / 252 Spe:NONE:Fire Punch;Close Combat;Knock Off;Thunder Punch	38,1406,1340,1064,973,392	0	True	1	Dark,Dragon,Electric,Fighting,Fire,Ghost,Grass,Ground,Normal,Psychic,Water	NONE	NONE	Ground:4,Rock:4,Water:4	170	91	138	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Hoenn Leaders:NORMAN:51	NORMAN	Hoenn Leaders	NONE	Hoenn Leaders	UNK	51	NORMAL (MGM off)	single	NONE	6	fixed	59	59	Zoroark-Hisui:59:Timid:Illusion:Focus Sash:6 HP / 252 SpA / 252 Spe:NONE:Bitter Malice;Aura Sphere;Hyper Voice;Sludge Bomb|Iron Valiant:59:Jolly:Quark Drive:Booster Energy:6 HP / 252 Atk / 252 Spe:NONE:Close Combat;Spirit Break;Bulk Up;Knock Off|Ursaluna-Bloodmoon:59:Modest:Mind's Eye:Expert Belt:6 HP / 252 SpA / 252 Spe:30 Atk / 30 Def:Earth Power;Blood Moon;Hyper Voice;Hidden Power Ice|Cyclizar:59:Jolly:Regenerator:Sitrus Berry:6 HP / 252 Atk / 252 Spe:NONE:Shed Tail;Aqua Tail;Dragon Claw;Return|Slaking:59:Jolly:Truant:NONE:6 HP / 252 Atk / 252 Spe:NONE:Return;Play Rough;Power-Up Punch;Earthquake|Obstagoon:59:Jolly:Guts:Life Orb:6 HP / 252 Atk / 252 Spe:NONE:Facade;Knock Off;Close Combat;Sucker Punch	1003,1399,1424,1356,289,862	0	True	1	Dark,Dragon,Fairy,Fighting,Ghost,Ground,Normal,Poison,Water	NONE	NONE	Fighting:4,Fairy:3	223	121	202	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Hoenn Leaders:WINONA:63	WINONA	Hoenn Leaders	NONE	Hoenn Leaders	UNK	63	NORMAL (MGM off)	single	NONE	6	fixed	68	68	Staraptor:68:Jolly:Intimidate:Choice Band:6 HP / 252 Atk / 252 Spe:NONE:U-turn;Double-Edge;Brave Bird;Close Combat|Aggron:68:Adamant:Rock Head:Assault Vest:6 HP / 252 Atk / 252 Def:NONE:Head Smash;Heavy Slam;Fire Punch;Body Press|Flygon:68:Naive:Tinted Lens:Life Orb:252 Atk / 6 SpA / 252 Spe:NONE:Headlong Rush;Draco Meteor;Dual Wingbeat;Rock Slide|Frosmoth:68:Timid:Ice Scales:Heavy-Duty Boots:6 HP / 252 SpA / 252 Spe:NONE:Ice Beam;Giga Drain;Bug Buzz;Quiver Dance|Thundurus-Therian:68:Timid:Volt Absorb:Focus Sash:6 HP / 252 SpA / 252 Spe:30 SpA / 30 SpD / 30 Spe:Thunderbolt;Grass Knot;Sludge Wave;Hidden Power Flying|Altaria-Mega:68:Jolly:Pixilate:Altarianite:6 HP / 252 Atk / 252 Spe:NONE:Earthquake;Dragon Claw;Return;Dragon Dance	398,306,330,873,1101,938	0	True	0	Bug,Dragon,Electric,Fighting,Fire,Flying,Grass,Ground,Ice,Normal,Poison,Rock,Steel	NONE	NONE	Ice:4,Rock:3	225	94	209	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Hoenn Leaders:TATE:75	TATE	Hoenn Leaders	NONE	Hoenn Leaders	UNK	75	NORMAL (MGM off)	double	NONE	3	fixed	76	76	Tapu Lele:76:Timid:Psychic Surge:Terrain Extender:6 HP / 252 SpA / 252 Spe:NONE:Moonblast;Psychic;Thunderbolt;Calm Mind|Espathra:76:Timid:Speed Boost:Focus Sash:6 HP / 252 SpA / 252 Spe:30 Def / 30 SpA / 30 SpD / 30 Spe:Lumina Crash;Air Slash;Flash Cannon;Hidden Power Fighting|Kangaskhan:76:Jolly:Parental Bond:Kangaskhanite:6 HP / 252 Atk / 252 Spe:NONE:Power-Up Punch;Body Slam;Crunch;Brick Break	786,1344,115	0	True	0	Dark,Electric,Fairy,Fighting,Flying,Normal,Psychic,Steel	NONE	NONE	Ghost:2	258	234	242	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Hoenn Leaders:LIZA:75	LIZA	Hoenn Leaders	NONE	Hoenn Leaders	UNK	75	NORMAL (MGM off)	double	NONE	3	fixed	76	76	Iron Leaves:76:Jolly:Sharpness:Life Orb:6 HP / 252 Atk / 252 Spe:NONE:Leaf Blade;Psyblade;Sacred Sword;Night Slash|Farigiraf:76:Modest:Parental Bond:Assault Vest:6 HP / 252 SpA / 252 Spe:NONE:Expanding Force;Hyper Voice;Dazzling Gleam;Psychic|Alakazam-Mega:76:Timid:Trace:Alakazite:6 HP / 252 SpA / 252 Spe:NONE:Expanding Force;Psyshock;Focus Blast;Shadow Ball	1407,1372,912	0	True	0	Dark,Fairy,Fighting,Ghost,Grass,Normal,Psychic	NONE	NONE	Bug:3,Dark:3,Ghost:2	334	167	257	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Hoenn Leaders:JUAN:87	JUAN	Hoenn Leaders	NONE	Hoenn Leaders	UNK	87	NORMAL (MGM off)	single	NONE	6	fixed	82	82	Tapu Fini:82:Timid:Misty Surge:Terrain Extender:6 HP / 252 SpA / 252 Spe:NONE:Moonblast;Ice Beam;Surf;Flip Turn|Tinkaton:82:Jolly:Own Tempo:Shuca Berry:6 HP / 252 Atk / 252 Spe:NONE:Gigaton Hammer;Play Rough;Stone Edge;Brick Break|Rapidash-Galar:82:Jolly:Flash Fire:Life Orb:6 HP / 252 Atk / 252 Spe:NONE:Flare Blitz;Play Rough;Wild Charge;Swords Dance|Ursaluna:82:Adamant:Guts:Assault Vest:6 HP / 252 Atk / 252 Spe:NONE:Facade;Close Combat;Headlong Rush;Play Rough|Flutter Mane:82:Timid:Protosynthesis:Choice Specs:6 HP / 252 SpA / 252 Spe:NONE:Energy Ball;Shadow Ball;Moonblast;Psyshock|Diancie-Mega:82:Timid:Magic Bounce:Diancite:6 HP / 252 SpA / 252 Spe:NONE:Moonblast;Diamond Storm;Earth Power;Calm Mind	788,1347,976,901,1379,952	0	True	0	Electric,Fairy,Fighting,Fire,Ghost,Grass,Ground,Ice,Normal,Psychic,Rock,Steel,Water	NONE	NONE	Ground:3,Water:3,Grass:3	333	164	273	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Sinnoh Leaders:CANDICE:1	CANDICE	Sinnoh Leaders	NONE	Sinnoh Leaders	Route 116	1	NORMAL (MGM off)	single	NONE	14	scales_to_player	UNK	UNK	Snover:Player's Highest Lv -2:Rash:Snow Warning:Occa Berry:NONE:NONE:Mega Drain;Ice Shard;Icy Wind;Sleep Powder|Roserade:Player's Highest Lv:Timid:Natural Cure:Miracle Seed:NONE:30 Atk / 30 SpA / 30 Spe:Giga Drain;Sludge;Sleep Powder;Hidden Power Fire|Dolliv:Player's Highest Lv -1:Calm:Harvest:Sitrus Berry:NONE:NONE:Leech Seed;Protect;Mega Drain;Facade|Spheal:Player's Highest Lv -1:Calm:Thick Fat:Oran Berry:NONE:30 SpA / 30 SpD / 30 Spe:Icy Wind;Brine;Hidden Power Flying;Signal Beam|Sudowoodo:Player's Highest Lv -1:Adamant:Sturdy:Muscle Band:NONE:NONE:Rock Tomb;Bulldoze;Trailblaze;Power-Up Punch|Delibird:Player's Highest Lv -1:Adamant:Refrigerate:Muscle Band:NONE:NONE:Fake out;Aerial Ace;Ice Shard;Steel Wing|Cetoddle:Player's Highest Lv -1:Jolly:Slush Rush:Muscle Band:NONE:NONE:Ice Fang;Rock Smash;Bulldoze;Ice Shard|Gloom:Player's Highest Lv -1:Bold:Stench:Eviolite:NONE:NONE:Mega Drain;Stun Spore;Leech Seed;Synthesis|Gloom:Player's Highest Lv -1:Bold:Stench:Eviolite:NONE:NONE:Sludge;Poison Powder;Leech Seed;Synthesis|Vileplume:Player's Highest Lv -1:Bashful:Effect Spore:Black Sludge:252 HP / 252 Def / 6 SpA:NONE:Giga Drain;Toxic;Sludge Bomb;Synthesis|Arboliva:Player's Highest Lv -1:Calm:Harvest:Sitrus Berry:252 HP / 6 SpA / 252 SpD:NONE:Leech Seed;Protect;Giga Drain;Hyper Voice|Sudowoodo:Player's Highest Lv -1:Adamant:Sturdy:Muscle Band:6 HP / 252 Atk / 252 Spe:NONE:Rock Slide;High Horsepower;Trailblaze;Sucker Punch|Bellossom:Player's Highest Lv -1:Bold:Chlorophyll:Leftovers:252 HP / 252 Def / 6 SpA:NONE:Giga Drain;Stun Spore;Dazzling Gleam;Synthesis|Roserade:Player's Highest Lv:Timid:Technician:NONE:6 HP / 252 SpA / 252 Spe:30 Atk / 30 SpA / 30 Spe:Mega Drain;Sludge;Sleep Powder;Hidden Power Fire	459,407,1314,363,185,225,1363,44,44,45,1315,185,182,407	0	True	1	Bug,Dark,Fairy,Fighting,Flying,Grass,Ground,Ice,Normal,Poison,Rock,Steel,Water	NONE	NONE	Fire:11,Flying:9,Ice:8,Fighting:7	UNK	UNK	UNK	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
