lineage	checkpoint	form_used	form_stage	raw	floor	vorp	lin_median	dead_weight_penalty	adjusted
1	1	Venusaur	3	0.601	0.571	0.0285	0.6108	0.0098	0.5912
1	2	Venusaur	3	0.5114	0.4615	0.0078	0.6108	0.0994	0.412
1	3	Venusaur	3	0.5728	0.5068	0.0785	0.6108	0.038	0.5348
1	4	Venusaur	3	0.6242	0.4972	0.127	0.6108	0	0.6242
1	5	Venusaur	3	0.591	0.4531	0.024	0.6108	0.0198	0.5712
1	6	Venusaur	3	0.6643	0.4301	0.1437	0.6108	0	0.6643
1	7	Venusaur	3	0.6463	0.4041	0.1563	0.6108	0	0.6463
1	8	Venusaur	3	0.6028	0.3354	0.1146	0.6108	0.008	0.5948
1	9	Venusaur	3	0.6575	0.4588	0.1594	0.6108	0	0.6575
1	10	Venusaur	3	0.6606	0.4468	0.1988	0.6108	0	0.6606
1	11	Venusaur	3	0.6398	0.5353	0.0905	0.6108	0	0.6398
1	12	Venusaur	3	0.6154	0.4179	0.1637	0.6108	0	0.6154
1	13	Venusaur	3	0.5958	0.3725	0.1128	0.6108	0.015	0.5808
1	14	Venusaur	3	0.7212	0.4242	0.2221	0.6108	0	0.7212
1	15	Venusaur	3	0.6162	0.3825	0.0947	0.6108	0	0.6162
1	16	Venusaur	3	0.5827	0.3999	0.1048	0.6108	0.0281	0.5546
1	17	Venusaur	3	0.5209	0.3854	0.0784	0.6108	0.0899	0.431
1	18	Venusaur	3	0.6108	0.37	0.1332	0.6108	0	0.6108
1	19	Venusaur	3	0.568	0.3572	0.0836	0.6108	0.0428	0.5252
10	1	Butterfree	3	0.4584	0.3749	0.0196	0.5059	0.0475	0.4109
10	2	Butterfree	3	0.4499	0.368	-0.0156	0.5059	0.056	0.3939
10	3	Butterfree	3	0.4213	0.2972	-0.0657	0.5059	0.0846	0.3367
10	4	Butterfree	3	0.5741	0.4028	0.0438	0.5059	0	0.5741
10	5	Butterfree	3	0.5109	0.3358	-0.0356	0.5059	0	0.5109
10	6	Butterfree	3	0.5341	0.2204	0.0455	0.5059	0	0.5341
10	7	Butterfree	3	0.5042	0.3161	-0.0183	0.5059	0.0017	0.5025
10	8	Butterfree	3	0.4579	0.2445	-0.0754	0.5059	0.048	0.4099
10	9	Butterfree	3	0.5535	0.3163	0.0319	0.5059	0	0.5535
10	10	Butterfree	3	0.5837	0.345	0.0675	0.5059	0	0.5837
10	11	Butterfree	3	0.4374	0.3052	-0.1453	0.5059	0.0685	0.3689
